ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
ABC-type transporter activity	ABC-type transporter activity	ABC-type transporter activity	56/4088	190/35298	0.294736842105263	2.54491708723864	7.72780916752955	2.14190254339682e-11	1.81477560949621e-09	1.35278055372431e-09	LOC110899387/LOC110899389/LOC110899391/LOC110899390/LOC110864025/LOC110871436/LOC110908714/LOC110908303/LOC118486884/LOC110909601/LOC110909497/LOC110885363/LOC110917695/LOC110928539/LOC110935527/LOC110935548/LOC110935549/LOC110935627/LOC110935840/LOC110937000/LOC110936966/LOC110867956/LOC110868308/LOC110868815/LOC110869534/LOC110872550/LOC110873432/LOC110880092/LOC110880093/LOC110880086/LOC110880211/LOC110884252/LOC110884254/LOC110884351/LOC110884350/LOC110884357/LOC110884361/LOC110884383/LOC110885681/LOC110885679/LOC110885680/LOC110891594/LOC110890707/LOC110898429/LOC110904719/LOC110909968/LOC118487252/LOC110909967/LOC110909966/LOC110911317/LOC110909965/LOC110911781/LOC110911782/LOC110937089/LOC110918014/LOC110909969	56
misfolded protein binding	misfolded protein binding	misfolded protein binding	32/4088	82/35298	0.390243902439024	3.36957663118706	7.77472664583395	1.60873561023824e-10	1.2494513239517e-08	9.31373248032668e-09	LOC110864547/LOC110920375/LOC110929044/LOC110929117/LOC110932994/LOC110936043/LOC110936435/LOC110939643/LOC110939778/LOC110939857/LOC110940025/LOC110864398/LOC110918978/LOC110918971/LOC110867123/LOC110872944/LOC110877095/LOC110877876/LOC110885592/LOC110885591/LOC110885593/LOC118483317/LOC110885596/LOC110895197/LOC110899791/LOC110909823/LOC110910872/LOC110911952/LOC110940395/LOC110940194/LOC110915334/LOC110925573	32
mRNA binding	mRNA binding	mRNA binding	82/4088	375/35298	0.218666666666667	1.88808610567515	6.2573780450742	9.42209951955097e-09	6.75492057863192e-07	5.03529205093412e-07	LOC110942707/LOC110944556/LOC110868143/LOC110871940/LOC110878434/LOC110879228/LOC110888145/LOC110904134/LOC118485660/LOC110904419/LOC110937791/LOC110927205/LOC110928637/LOC118479377/LOC110928989/LOC110904236/LOC110929041/LOC110929046/LOC110929049/LOC110883141/LOC110936616/LOC110936511/LOC110937274/LOC110939639/LOC110939660/LOC110940062/LOC110864237/LOC110864268/LOC110909359/LOC110865078/LOC110865516/LOC110866212/LOC110872502/LOC110872521/LOC110872610/LOC110872622/LOC110872854/LOC110873367/LOC110877780/LOC110877877/LOC110941488/LOC110884387/LOC110880942/LOC110881620/LOC110885008/LOC110885007/LOC110885463/LOC110885464/LOC110885075/LOC110884742/LOC110885626/LOC110885771/LOC110886218/LOC110886680/LOC110889774/LOC110890020/LOC110907875/LOC110895981/LOC110893661/LOC110894026/LOC110904578/LOC118479225/LOC110894950/LOC110897976/LOC110877061/LOC118479233/LOC110922890/LOC110908930/LOC110907311/LOC110904657/LOC110911168/LOC110911740/LOC118487610/LOC110911741/LOC110911767/LOC110912112/LOC110912645/LOC110913033/LOC110935951/LOC110889556/LOC110919802/LOC110922300	82
plant-type vacuole	plant-type vacuole	plant-type vacuole	19/4088	39/35298	0.487179487179487	4.20657082643384	7.2512954703313	1.06853926622305e-08	7.11341854371347e-07	5.30252568200913e-07	LOC110899387/LOC110899389/LOC110901748/LOC110899391/LOC110899390/LOC110871436/LOC110908714/LOC110908303/LOC118486884/LOC110928973/LOC110935527/LOC110935548/LOC110935549/LOC110877415/LOC110877917/LOC110880211/LOC110884252/LOC110884254/LOC110916532	19
GTPase activity	GTPase activity	GTPase activity	71/4088	311/35298	0.228295819935691	1.9712294158733	6.22624385666228	1.43815397988321e-08	8.93573006167436e-07	6.66092369630119e-07	LOC110910191/LOC110915851/LOC110867888/LOC110904411/LOC110928797/LOC118490578/LOC110929501/LOC110934839/LOC110898253/LOC110898952/LOC110936329/LOC110937385/LOC110940039/LOC110940095/LOC110940182/LOC110940787/LOC110940904/LOC110944068/LOC110940244/LOC110865634/LOC110870589/LOC110867693/LOC110867677/LOC110921092/LOC110899459/LOC110871606/LOC110873081/LOC110873323/LOC118481041/LOC110873866/LOC110877648/LOC110878216/LOC110884259/LOC110885516/LOC110881968/LOC110885241/LOC110886017/LOC110889262/LOC110889764/LOC110891900/LOC110937519/LOC110941498/LOC110890347/LOC110891399/LOC110894651/LOC110894717/LOC110897292/LOC110897777/LOC110898250/LOC110923304/LOC110909036/LOC110903690/LOC110904394/LOC110910122/LOC110911020/LOC110911690/LOC110911691/LOC110911393/LOC110911590/LOC110911665/LOC110911970/LOC110912002/LOC118487669/LOC110912654/LOC110917373/LOC110916783/LOC110885276/LOC110918093/LOC110867663/LOC110889304/LOC110920786	71
transcription corepressor activity	transcription corepressor activity	transcription corepressor activity	24/4088	60/35298	0.4	3.45381604696673	6.88477035186238	1.71893671495384e-08	1.00128063646061e-06	7.46380415703641e-07	LOC110942802/LOC110942794/LOC110942786/LOC110867868/LOC110864660/LOC110944495/LOC110943098/LOC110941594/LOC110926651/LOC110876197/LOC110877746/LOC110878519/LOC110933973/LOC110864672/LOC110879252/LOC110883921/LOC110884104/LOC110885062/LOC110869774/LOC110900709/LOC110903922/LOC110910292/LOC110911159/LOC110921400	24
heat shock protein binding	heat shock protein binding	heat shock protein binding	28/4088	78/35298	0.358974358974359	3.09957850368809	6.71834342104991	1.93920447299278e-08	1.00650895092844e-06	7.50277736178872e-07	LOC110864547/LOC110920375/LOC110929044/LOC110929117/LOC110932994/LOC110936043/LOC110936435/LOC110939778/LOC110939857/LOC110940025/LOC110918978/LOC110918971/LOC110867123/LOC110872944/LOC110877876/LOC110885592/LOC110885591/LOC110885593/LOC118483317/LOC110885596/LOC110885727/LOC110894285/LOC110895197/LOC110899791/LOC110909823/LOC110911952/LOC110940395/LOC110940194	28
endoplasmic reticulum exit site	endoplasmic reticulum exit site	endoplasmic reticulum exit site	15/4088	26/35298	0.576923076923077	4.98146545235586	7.35007954910507	1.94390140737253e-08	1.00650895092844e-06	7.50277736178872e-07	LOC110864246/LOC110872130/LOC110864264/LOC110865472/LOC110873142/LOC110912258/LOC110892834/LOC110865861/LOC118479410/LOC110915366/LOC110915825/LOC110918195/LOC118489217/LOC110923113/LOC110922061	15
unfolded protein binding	unfolded protein binding	unfolded protein binding	57/4088	231/35298	0.246753246753247	2.13060080819376	6.23940866249113	2.13171541959941e-08	1.04566251108771e-06	7.79463809936627e-07	LOC110942199/LOC110864547/LOC110866733/LOC110920375/LOC110931608/LOC110913120/LOC110904418/LOC110929397/LOC110929398/LOC110929403/LOC110929404/LOC110929405/LOC110929044/LOC110929117/LOC110932994/LOC110936076/LOC110936043/LOC110936435/LOC110939778/LOC110939857/LOC110940025/LOC110918978/LOC110918971/LOC110867123/LOC110868974/LOC110869235/LOC110872674/LOC110872944/LOC110877876/LOC110908792/LOC110874999/LOC110885592/LOC110885591/LOC110885593/LOC118483317/LOC110885596/LOC110885727/LOC110889421/LOC110889540/LOC110890069/LOC110889707/LOC110894285/LOC110895197/LOC110895573/LOC110897380/LOC110898238/LOC110899791/LOC110907978/LOC110872871/LOC110909823/LOC110910501/LOC110911895/LOC110911952/LOC110916798/LOC110917240/LOC110940395/LOC110940194	57
cellular response to unfolded protein	cellular response to unfolded protein	cellular response to unfolded protein	26/4088	70/35298	0.371428571428571	3.20711490075482	6.68971206760537	2.74038413708303e-08	1.27701900788069e-06	9.5192291077621e-07	LOC110864547/LOC110920375/LOC110929044/LOC110929117/LOC110932994/LOC110936043/LOC110936435/LOC110939778/LOC110939857/LOC110940025/LOC110918978/LOC110918971/LOC110867123/LOC110872944/LOC110877876/LOC110885592/LOC110885591/LOC110885593/LOC118483317/LOC110885596/LOC110895197/LOC110899791/LOC110909823/LOC110911952/LOC110940395/LOC110940194	26
intracellular protein transport	intracellular protein transport	intracellular protein transport	54/4088	216/35298	0.25	2.15863502935421	6.18171266675388	3.07928226733883e-08	1.36661479674276e-06	1.01870992302939e-06	LOC110864246/LOC110926651/LOC110872130/LOC110877647/LOC110916486/LOC110883131/LOC110928605/LOC110929494/LOC110931725/LOC110930704/LOC110936394/LOC110936393/LOC110937394/LOC110940182/LOC110940972/LOC110864264/LOC110864316/LOC110889625/LOC110865472/LOC110940244/LOC110869186/LOC110872682/LOC110877213/LOC110877852/LOC110877803/LOC110878075/LOC110881076/LOC110884977/LOC110886849/LOC110889188/LOC118483968/LOC110888243/LOC110904843/LOC110895478/LOC110892834/LOC110897850/LOC110930098/LOC110898070/LOC110899566/LOC110899935/LOC110904210/LOC110865861/LOC110911669/LOC110914646/LOC110917508/LOC110919628/LOC110918195/LOC110926413/LOC110926307/LOC110895031/LOC110923113/LOC110926237/LOC110922061/LOC110925390	54
protein import into nucleus	protein import into nucleus	protein import into nucleus	23/4088	59/35298	0.389830508474576	3.36600716441673	6.58275558258608	6.01627197246768e-08	2.54871158106358e-06	1.89987535972664e-06	LOC110915735/LOC110929478/LOC110936697/LOC110936801/LOC110871954/LOC110872019/LOC110870058/LOC110916667/LOC110894345/LOC110894392/LOC110894395/LOC110904861/LOC110928674/LOC110897815/LOC110898477/LOC110898778/LOC110899183/LOC110908744/LOC110910947/LOC110896006/LOC110939255/LOC110918798/LOC110926058	23
intracellular signal transduction	intracellular signal transduction	intracellular signal transduction	50/4088	203/35298	0.246305418719212	2.12673401906818	5.82672148247919	1.61106942916933e-07	6.3778668850117e-06	4.75422650113816e-06	LOC110941748/LOC110866405/LOC110867206/LOC110869562/LOC110920898/LOC110930051/LOC110930268/LOC110930741/LOC110930824/LOC110937799/LOC110939632/LOC110939818/LOC110940728/LOC110940671/LOC110872341/LOC110865680/LOC110865879/LOC110868064/LOC110868066/LOC110930064/LOC110868253/LOC110868712/LOC110869302/LOC110872400/LOC110873101/LOC110873059/LOC110873588/LOC110885524/LOC110884979/LOC110885370/LOC110889792/LOC110890288/LOC110890418/LOC110894677/LOC110894807/LOC110897402/LOC110897519/LOC110897592/LOC110899414/LOC110899783/LOC110908368/LOC110909911/LOC110911066/LOC110912919/LOC110916330/LOC110920829/LOC110915880/LOC110916328/LOC110882480/LOC110926112	50
positive regulation of translational elongation	positive regulation of translational elongation	positive regulation of translational elongation	9/4088	11/35298	0.818181818181818	7.06462373243195	7.28065230971883	1.64236915493864e-07	6.3778668850117e-06	4.75422650113816e-06	LOC110871872/LOC110911792/LOC110911793/LOC110911794/LOC110874990/LOC110892587/LOC110915499/LOC110915453/LOC110926196	9
protein refolding	protein refolding	protein refolding	31/4088	101/35298	0.306930693069307	2.65020538257348	6.0106760069508	2.17471715693414e-07	8.10734556105047e-06	6.04342452032224e-06	LOC110864547/LOC110920375/LOC110929044/LOC110929117/LOC110932994/LOC110936043/LOC110936435/LOC110939778/LOC110939857/LOC110940025/LOC110918978/LOC110918971/LOC110867123/LOC110872944/LOC110877876/LOC110883965/LOC110885592/LOC110885591/LOC110885593/LOC118483317/LOC110885596/LOC110885727/LOC110894285/LOC110895197/LOC110899791/LOC110872871/LOC110909823/LOC110910475/LOC110911952/LOC110940395/LOC110940194	31
nuclear localization sequence binding	nuclear localization sequence binding	nuclear localization sequence binding	14/4088	27/35298	0.518518518518518	4.47716894977169	6.54148342275198	3.50608850260338e-07	1.25679787862552e-05	9.36849559400093e-06	LOC110915735/LOC110929478/LOC110936697/LOC110936801/LOC110870058/LOC110937830/LOC110916667/LOC110888677/LOC110897815/LOC110898289/LOC110898778/LOC110899183/LOC110908744/LOC110939255	14
positive regulation of translational termination	positive regulation of translational termination	positive regulation of translational termination	9/4088	12/35298	0.75	6.47590508806262	6.86630003694789	5.88763867212128e-07	2.03232564533964e-05	1.51494796241717e-05	LOC110871872/LOC110911792/LOC110911793/LOC110911794/LOC110874990/LOC110892587/LOC110915499/LOC110915453/LOC110926196	9
intracellular anatomical structure	intracellular anatomical structure	intracellular anatomical structure	18/4088	44/35298	0.409090909090909	3.53231186621598	6.08298555158875	6.99970021828534e-07	2.32556495429015e-05	1.73353610778349e-05	LOC110864984/LOC110928458/LOC110931928/LOC110937047/LOC110864236/LOC110864850/LOC110864670/LOC110930528/LOC110873480/LOC110882180/LOC110884645/LOC110904859/LOC110910052/LOC110913264/LOC110917854/LOC110926236/LOC110926235/LOC110921088	18
COPII-coated vesicle cargo loading	COPII-coated vesicle cargo loading	COPII-coated vesicle cargo loading	11/4088	18/35298	0.611111111111111	5.27666340508806	6.56832285205136	7.23619996506593e-07	2.32556495429015e-05	1.73353610778349e-05	LOC110864246/LOC110872130/LOC110864264/LOC110865472/LOC110912258/LOC110892834/LOC110865861/LOC118479410/LOC110918195/LOC110923113/LOC110922061	11
2-alkenal reductase [NAD(P)+] activity	2-alkenal reductase [NAD(P)+] activity	2-alkenal reductase [NAD(P)+] activity	8/4088	10/35298	0.8	6.90763209393346	6.76203439549007	1.16559270060632e-06	3.50429805472611e-05	2.61219416774252e-05	LOC110878544/LOC110878536/LOC110878529/LOC110895457/LOC110895459/LOC110895444/LOC110895445/LOC110916030	8
NADPH-hemoprotein reductase activity	NADPH-hemoprotein reductase activity	NADPH-hemoprotein reductase activity	8/4088	10/35298	0.8	6.90763209393346	6.76203439549007	1.16559270060632e-06	3.50429805472611e-05	2.61219416774252e-05	LOC110878276/LOC110943174/LOC110892678/LOC110876193/LOC110894001/LOC110894003/LOC110894002/LOC110895448	8
